"Category","Key","Url","File"
"HeroBackgrounds","heroes_backgrounds_vindicta_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/vindicta_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_vindicta_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_abrams_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/abrams_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_abrams_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_ivy_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/ivy_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_ivy_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_abrams_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/abrams_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_abrams_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_necro_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/necro_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_necro_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_wraith_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/wraith_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_wraith_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_doorman_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/doorman_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_doorman_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_victor_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/victor_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_victor_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_lash_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/lash_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_lash_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_kelvin_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/kelvin_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_kelvin_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_mina_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/mina_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_mina_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_infernus_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/infernus_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_infernus_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_wraith_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/wraith_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_wraith_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_bebop_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/bebop_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_bebop_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_geist_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/geist_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_geist_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_doorman_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/doorman_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_doorman_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_bebop_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/bebop_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_bebop_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_pocket_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/pocket_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_pocket_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_fencer_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/fencer_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_fencer_bg_png.png"
"HeroBackgrounds","heroes_backgrounds_astro_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/astro_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_astro_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_generic_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/generic_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_generic_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_victor_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/victor_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_victor_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_fencer_bg_webp","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/fencer_bg.webp","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_fencer_bg_webp.webp"
"HeroBackgrounds","heroes_backgrounds_ivy_bg_png","https://assets-bucket.deadlock-api.com/assets-api-res/images/heroes/backgrounds/ivy_bg.png","C:\APP\programs\shixi\deadlock-banpick\assets\UiDownloads\HeroBackgrounds\heroes_backgrounds_ivy_bg_png.png"
